"Autor.id";"Autor";"Autor..UF.";"Partido";"TotalConvenios";"CodImg"
"JÔ MORAES_MG";"JÔ MORAES";"MG";"PCdoB";"21827546.94";"141503"
"JÚLIO CESAR_PI";"JÚLIO CESAR";"PI";"PSD";"27984314.64";"74317"
"JÚLIO DELGADO_MG";"JÚLIO DELGADO";"MG";"PSB";"23026993.98";"73586"
"KEIKO OTA_SP";"KEIKO OTA";"SP";"PSB";"28271918.68";"160659"
"LAERCIO OLIVEIRA_SE";"LAERCIO OLIVEIRA";"SE";"SD";"23202154.11";"151208"
"LAERTE BESSA_DF";"LAERTE BESSA";"DF";"PR";"1691600";"141478"
"LEANDRE_PR";"LEANDRE";"PR";"PV";"1008000";"178832"
"LELO COIMBRA_ES";"LELO COIMBRA";"ES";"PMDB";"35041622.29";"141562"
"LEO DE BRITO_AC";"LEO DE BRITO";"AC";"PT";"860307.07";"178825"
"LEONARDO MONTEIRO_MG";"LEONARDO MONTEIRO";"MG";"PT";"36440008.35";"74156"
"LEONARDO PICCIANI_RJ";"LEONARDO PICCIANI";"RJ";"PMDB";"18651881.37";"74254"
"LEONARDO QUINTÃO_MG";"LEONARDO QUINTÃO";"MG";"PMDB";"25607745.12";"141482"
"LEOPOLDO MEYER_PR";"LEOPOLDO MEYER";"PR";"PSB";"19754547.51";"160663"
"LINCOLN PORTELA_MG";"LINCOLN PORTELA";"MG";"PR";"38341977.84";"74585"
"LINDOMAR GARÇON_RO";"LINDOMAR GARÇON";"RO";"PMDB";"5361555.63";"141483"
"LUCIANA SANTOS_PE";"LUCIANA SANTOS";"PE";"PCdoB";"88295386.16";"160628"
"LUCIO MOSQUINI_RO";"LUCIO MOSQUINI";"RO";"PMDB";"2354166.67";"178954"
"LUCIO VIEIRA LIMA_BA";"LUCIO VIEIRA LIMA";"BA";"PMDB";"30102334.86";"94931"
"LUIS CARLOS HEINZE_RS";"LUIS CARLOS HEINZE";"RS";"PP";"55815368.77";"73483"
"LUIS TIBÉ_MG";"LUIS TIBÉ";"MG";"PTdoB";"24626374.21";"160510"
"LUIZ CARLOS BUSATO_RS";"LUIZ CARLOS BUSATO";"RS";"PTB";"22668988.66";"141485"
"LUIZ CARLOS HAULY_PR";"LUIZ CARLOS HAULY";"PR";"PSDB";"28064386.09";"73778"
"LUIZ CLÁUDIO_RO";"LUIZ CLÁUDIO";"RO";"PR";"1214778";"178955"
"LUIZ COUTO_PB";"LUIZ COUTO";"PB";"PT";"15380809.22";"74041"
"LUIZ FERNANDO FARIA_MG";"LUIZ FERNANDO FARIA";"MG";"PP";"30109729.21";"141487"
"LUIZ NISHIMORI_PR";"LUIZ NISHIMORI";"PR";"PR";"22678522.79";"162332"
"LUIZ SÉRGIO_RJ";"LUIZ SÉRGIO";"RJ";"PT";"17516003.17";"74688"
"LUIZA ERUNDINA_SP";"LUIZA ERUNDINA";"SP";"PSB";"39365989.6";"74784"
"LÁZARO BOTELHO_TO";"LÁZARO BOTELHO";"TO";"PP";"38235408.25";"141480"
"LÚCIO VALE_PA";"LÚCIO VALE";"PA";"PR";"18992254.78";"141484"
"MAGDA MOFATTO_GO";"MAGDA MOFATTO";"GO";"PR";"1600000";"166402"
"MANDETTA_MS";"MANDETTA";"MS";"DEM";"25312714.68";"160633"
"MANOEL JUNIOR_PB";"MANOEL JUNIOR";"PB";"PMDB";"14767172.75";"141490"
"MARA GABRILLI_SP";"MARA GABRILLI";"SP";"PSDB";"29670639.18";"160565"
"MARCELO ARO_MG";"MARCELO ARO";"MG";"PHS";"840000";"146788"
"MARCELO MATOS_RJ";"MARCELO MATOS";"RJ";"PDT";"11212678.05";"76287"
"MARCELO ÁLVARO ANTÔNIO_MG";"MARCELO ÁLVARO ANTÔNIO";"MG";"PMB";"900000";"179000"
"MARCIO ALVINO_SP";"MARCIO ALVINO";"SP";"PR";"430000";"178983"
"MARCO ANTÔNIO CABRAL_RJ";"MARCO ANTÔNIO CABRAL";"RJ";"PMDB";"2674581.65";"178942"
"MARCO MAIA_RS";"MARCO MAIA";"RS";"PT";"58704863.3";"133373"
"MARCO TEBALDI_SC";"MARCO TEBALDI";"SC";"PSDB";"21012906.68";"160536"
"MARCON_RS";"MARCON";"RS";"PT";"35438593.54";"160535"
"MARCOS MONTES_MG";"MARCOS MONTES";"MG";"PSD";"29776442.61";"141500"
"MARCOS REATEGUI_AP";"MARCOS REATEGUI";"AP";"PSC";"1950361";"178852"
"MARCOS ROGÉRIO_RO";"MARCOS ROGÉRIO";"RO";"PDT";"33051078.24";"167722"
"MARCOS ROTTA_AM";"MARCOS ROTTA";"AM";"PMDB";"4347085.02";"178850"
"MARCUS PESTANA_MG";"MARCUS PESTANA";"MG";"PSDB";"20874564.36";"159238"
"MARGARIDA SALOMÃO_MG";"MARGARIDA SALOMÃO";"MG";"PT";"5713324.23";"171619"
"MARIA DO ROSÁRIO_RS";"MARIA DO ROSÁRIO";"RS";"PT";"11015047.57";"74398"
"MARIANA CARVALHO_RO";"MARIANA CARVALHO";"RO";"PSDB";"202000";"178956"
"MARINHA RAUPP_RO";"MARINHA RAUPP";"RO";"PMDB";"31724389.17";"74177"
"MARX BELTRÃO_AL";"MARX BELTRÃO";"AL";"PMDB";"1450000";"178843"
"MAURO LOPES_MG";"MAURO LOPES";"MG";"PMDB";"31952755.13";"74749"
"MAURO MARIANI_SC";"MAURO MARIANI";"SC";"PMDB";"44696220.14";"141507"
"MAURÍCIO QUINTELLA LESSA_AL";"MAURÍCIO QUINTELLA LESSA";"AL";"PR";"29429189.31";"74050"
"MENDONÇA FILHO_PE";"MENDONÇA FILHO";"PE";"DEM";"4278889.29";"74428"
"MILTON MONTI_SP";"MILTON MONTI";"SP";"PR";"45618455.1";"74787"
"MIRO TEIXEIRA_RJ";"MIRO TEIXEIRA";"RJ";"REDE";"15445750.14";"74862"
"MISSIONÁRIO JOSÉ OLIMPIO_SP";"MISSIONÁRIO JOSÉ OLIMPIO";"SP";"PP";"46298128.38";"160561"
"MOEMA GRAMACHO_BA";"MOEMA GRAMACHO";"BA";"PT";"555500";"178859"
"MOSES RODRIGUES_CE";"MOSES RODRIGUES";"CE";"PPS";"1521000";"178997"
"MÁRCIO MARINHO_BA";"MÁRCIO MARINHO";"BA";"PRB";"26785985.65";"150418"
"MÁRIO HERINGER_MG";"MÁRIO HERINGER";"MG";"PDT";"1782607.69";"74158"
"MÁRIO NEGROMONTE JR._BA";"MÁRIO NEGROMONTE JR.";"BA";"PP";"1924085.2";"178858"
"NELSON MARCHEZAN JUNIOR_RS";"NELSON MARCHEZAN JUNIOR";"RS";"PSDB";"24368149.24";"160567"
"NELSON MARQUEZELLI_SP";"NELSON MARQUEZELLI";"SP";"PTB";"33007247.3";"73553"
"NELSON MEURER_PR";"NELSON MEURER";"PR";"PP";"45460452.77";"73781"
"NEWTON CARDOSO JR_MG";"NEWTON CARDOSO JR";"MG";"PMDB";"972292.2";"178896"
"NILSON LEITÃO_MT";"NILSON LEITÃO";"MT";"PSDB";"15118861.64";"166401"
"NILSON PINTO_PA";"NILSON PINTO";"PA";"PSDB";"11003012";"74352"
"NILTO TATTO_SP";"NILTO TATTO";"SP";"PT";"1392300";"178986"
"NILTON CAPIXABA_RO";"NILTON CAPIXABA";"RO";"PTB";"47162918.94";"74359"
"ONYX LORENZONI_RS";"ONYX LORENZONI";"RS";"DEM";"26493983.18";"74399"
"OSMAR SERRAGLIO_PR";"OSMAR SERRAGLIO";"PR";"PMDB";"28867115.09";"73463"
"OSMAR TERRA_RS";"OSMAR TERRA";"RS";"PMDB";"40195198.09";"73692"
"OTAVIO LEITE_RJ";"OTAVIO LEITE";"RJ";"PSDB";"20613277.15";"141515"
"PADRE JOÃO_MG";"PADRE JOÃO";"MG";"PT";"24646202.71";"160556"
"PAES LANDIM_PI";"PAES LANDIM";"PI";"PTB";"37489666.92";"74319"
"PASTOR EURICO_PE";"PASTOR EURICO";"PE";"PSB";"55823043.13";"160642"
"PAUDERNEY AVELINO_AM";"PAUDERNEY AVELINO";"AM";"DEM";"15023386.72";"74095"
"PAULO ABI-ACKEL_MG";"PAULO ABI-ACKEL";"MG";"PSDB";"11212074.31";"141516"
"PAULO AZI_BA";"PAULO AZI";"BA";"DEM";"250000";"178860"
"PAULO FEIJÓ_RJ";"PAULO FEIJÓ";"RJ";"PR";"4450439.91";"74017"
"PAULO FOLETTO_ES";"PAULO FOLETTO";"ES";"PSB";"27345119.76";"160517"
"PAULO FREIRE_SP";"PAULO FREIRE";"SP";"PR";"25413487.93";"160558"
"PAULO MAGALHÃES_BA";"PAULO MAGALHÃES";"BA";"PSD";"23508059.87";"74574"
"PAULO MALUF_SP";"PAULO MALUF";"SP";"PP";"52184961.88";"132056"
"PAULO PEREIRA DA SILVA_SP";"PAULO PEREIRA DA SILVA";"SP";"SD";"19571969.27";"141518"
