FLAVINHO;5310493;23357;SP=PSB;178978;FLAVINHO
FLORIANO PESARO;5310671;23358;SP=PSDB;178979;FLORIANO PESARO
FRANCISCO CHAPADINHA;5310337;2328;PA=PTN;178907;FRANCISCO CHAPADINHA
FRANCISCO FLORIANO;5310707;23297;RJ=DEM;160677;FRANCISCO FLORIANO
FRANKLIN LIMA;5310835;23544;MG=PP;186775;FRANKLIN LIMA
GABRIEL GUIMARÃES;5310611;23244;MG=PT;129037;GABRIEL GUIMARÃES
GENECIAS NORONHA;5310384;2399;CE=SD;160669;GENECIAS NORONHA
GEORGE HILTON;5310739;23241;MG=PROS;141441;GEORGE HILTON
GEOVANIA DE SÁ;5310539;23482;SC=PSDB;178966;GEOVANIA DE SÁ
GERALDO RESENDE;5310512;23435;MS=PSDB;74374;GERALDO RESENDE
GIACOBO;5310713;23466;PR=PR;74383;GIACOBO
GILBERTO NASCIMENTO;5310514;23360;SP=PSC;74270;GILBERTO NASCIMENTO
GIOVANI CHERINI;5310766;23502;RS=PDT;160673;GIOVANI CHERINI
GIUSEPPE VECCI;5310559;23429;GO=PSDB;178878;GIUSEPPE VECCI
GIVALDO CARIMBÃO;5310400;23166;AL=PHS;74558;GIVALDO CARIMBÃO
GIVALDO VIEIRA;5310706;23276;ES=PT;178872;GIVALDO VIEIRA
GLAUBER BRAGA;5310397;23304;RJ=PSOL;152605;GLAUBER BRAGA
GONZAGA PATRIOTA;5310575;23143;PE=PSB;74419;GONZAGA PATRIOTA
GORETE PEREIRA;5310366;23100;CE=PR;129618;GORETE PEREIRA
GOULART;5310382;23361;SP=PSD;178980;GOULART
GUILHERME MUSSI;5310578;23348;SP=PP;160667;GUILHERME MUSSI
HEITOR SCHUCH;5310703;23504;RS=PSB;178964;HEITOR SCHUCH
HELDER SALOMÃO;5310351;23279;ES=PT;178873;HELDER SALOMÃO
HÉLIO LEITE;5310299;2332;PA=DEM;178909;HÉLIO LEITE
HENRIQUE FONTANA;5310527;23498;RS=PT;73482;HENRIQUE FONTANA
HERÁCLITO FORTES;5310716;23115;PI=PSB;97707;HERÁCLITO FORTES
HERCULANO PASSOS;5310513;23362;SP=PSD;178981;HERCULANO PASSOS
